2020-09-01 15:48:03.811 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@65b97f47' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-09-01 15:48:03.815 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-09-01 15:48:04.012 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8050 (http)
2020-09-01 15:48:04.020 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8050"]
2020-09-01 15:48:04.020 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-09-01 15:48:04.020 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-09-01 15:48:04.094 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/learn] - Initializing Spring embedded WebApplicationContext
2020-09-01 15:48:04.094 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1047 ms
2020-09-01 15:48:05.444 [main] INFO  org.springframework.aop.framework.CglibAopProxy - Unable to proxy interface-implementing method [public final void org.springframework.web.filter.GenericFilterBean.init(javax.servlet.FilterConfig) throws javax.servlet.ServletException] because it is marked as final: Consider using interface-based JDK proxies instead!
2020-09-01 15:48:05.817 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@55222ee9, org.springframework.security.web.context.SecurityContextPersistenceFilter@57c69937, org.springframework.security.web.header.HeaderWriterFilter@26d0ece6, org.springframework.security.web.authentication.logout.LogoutFilter@7cc2c551, org.lsy.learn.security.auth.filter.JwtTokenAuthenticationFilter@7e7743ec, org.lsy.learn.security.auth.filter.JwtUserAuthenticationFilter@52831a73, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@446b64b3, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6826b70f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@71369e1a, org.springframework.security.web.session.SessionManagementFilter@4ae280da, org.springframework.security.web.access.ExceptionTranslationFilter@3b6c2be6, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@539fc5d1]
2020-09-01 15:48:05.884 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-09-01 15:48:06.130 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8050"]
2020-09-01 15:48:06.147 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8050 (http) with context path '/learn'
